id;generation;life;strength;speed;cDamage
3352;868;117;1000;883;1000
304;869;126;999;874;1000
898;870;117;1000;883;1000
1983;871;125;1000;875;1000
3985;872;116;1000;884;1000
2962;873;123;1000;877;1000
3431;874;114;1000;886;1000
359;875;122;1000;878;1000
1475;876;113;1000;887;1000
1072;877;121;1000;879;1000
116;878;112;1000;888;1000
1010;879;121;995;879;997
942;880;112;1000;888;1000
448;881;121;1000;879;1000
388;882;112;1000;888;1000
1934;883;121;997;879;1000
551;884;112;1000;888;1000
3639;885;121;1000;879;1000
1613;886;112;1000;888;1000
987;887;121;1000;879;1000
2357;888;112;1000;888;1000
3378;889;121;1000;879;996
1311;890;112;1000;888;1000
1677;891;121;1000;879;1000
3797;892;112;1000;888;1000
2298;893;120;1000;880;1000
2140;894;111;1000;889;1000
1743;895;120;1000;880;1000
3258;896;129;994;871;1000
3405;897;120;1000;880;1000
2561;898;129;1000;871;1000
2879;899;120;1000;880;1000
499;900;111;1000;889;1000
3069;901;119;1000;881;1000
1514;902;128;1000;872;1000
918;903;119;1000;881;1000
2734;904;110;1000;890;1000
2391;905;117;1000;883;1000
3064;906;125;1000;875;1000
1924;907;116;1000;884;1000
3607;908;125;999;875;993
1963;909;116;1000;884;1000
923;910;125;1000;875;998
2202;911;116;1000;884;1000
3255;912;125;1000;875;994
1642;913;116;1000;884;1000
1426;914;124;995;876;1000
163;915;115;1000;885;1000
3476;916;124;1000;876;1000
373;917;115;1000;885;1000
928;918;124;1000;876;1000
201;919;115;1000;885;1000
1457;920;124;1000;876;1000
2336;921;115;1000;885;1000
1255;922;106;1000;894;1000
244;923;114;1000;886;1000
880;924;122;1000;878;1000
2920;925;113;1000;887;1000
329;926;122;1000;878;994
1755;927;113;1000;887;1000
2721;928;104;1000;896;1000
1927;929;113;1000;887;992
2747;930;122;1000;878;986
1661;931;113;1000;887;995
2071;932;122;1000;878;1000
77;933;113;1000;887;1000
1020;934;104;1000;896;1000
1746;935;113;1000;887;1000
1306;936;122;999;878;998
3988;937;113;1000;887;1000
